customer_id,first_name,last_name,email,activebool,create_date,active,address,address2,district,postal_code,city,country,customer_last_upd,address_last_upd,city_last_upd,country_last_upd
524,Jared,Ely,jared.ely@sakilacustomer.org,t,2006-02-14,1,1003 Qinhuangdao Street,,West Java,25972,Purwakarta,Indonesia,2013-05-26 14:49:45.738,2006-02-15 09:45:30,2006-02-15 09:45:25,2006-02-15 09:44:00
1,Mary,Smith,mary.smith@sakilacustomer.org,t,2006-02-14,1,1913 Hanoi Way,,Nagasaki,35200,Sasebo,Japan,2013-05-26 14:49:45.738,2006-02-15 09:45:30,2006-02-15 09:45:25,2006-02-15 09:44:00
2,Patricia,Johnson,patricia.johnson@sakilacustomer.org,t,2006-02-14,1,1121 Loja Avenue,,California,17886,San Bernardino,United States,2013-05-26 14:49:45.738,2006-02-15 09:45:30,2006-02-15 09:45:25,2006-02-15 09:44:00
3,Linda,Williams,linda.williams@sakilacustomer.org,t,2006-02-14,1,692 Joliet Street,,Attika,83579,Athenai,Greece,2013-05-26 14:49:45.738,2006-02-15 09:45:30,2006-02-15 09:45:25,2006-02-15 09:44:00
4,Barbara,Jones,barbara.jones@sakilacustomer.org,t,2006-02-14,1,1566 Inegl Manor,,Mandalay,53561,Myingyan,Myanmar,2013-05-26 14:49:45.738,2006-02-15 09:45:30,2006-02-15 09:45:25,2006-02-15 09:44:00
5,Elizabeth,Brown,elizabeth.brown@sakilacustomer.org,t,2006-02-14,1,53 Idfu Parkway,,Nantou,42399,Nantou,Taiwan,2013-05-26 14:49:45.738,2006-02-15 09:45:30,2006-02-15 09:45:25,2006-02-15 09:44:00
6,Jennifer,Davis,jennifer.davis@sakilacustomer.org,t,2006-02-14,1,1795 Santiago de Compostela Way,,Texas,18743,Laredo,United States,2013-05-26 14:49:45.738,2006-02-15 09:45:30,2006-02-15 09:45:25,2006-02-15 09:44:00
7,Maria,Miller,maria.miller@sakilacustomer.org,t,2006-02-14,1,900 Santiago de Compostela Parkway,,Central Serbia,93896,Kragujevac,Yugoslavia,2013-05-26 14:49:45.738,2006-02-15 09:45:30,2006-02-15 09:45:25,2006-02-15 09:44:00
8,Susan,Wilson,susan.wilson@sakilacustomer.org,t,2006-02-14,1,478 Joliet Way,,Hamilton,77948,Hamilton,New Zealand,2013-05-26 14:49:45.738,2006-02-15 09:45:30,2006-02-15 09:45:25,2006-02-15 09:44:00
9,Margaret,Moore,margaret.moore@sakilacustomer.org,t,2006-02-14,1,613 Korolev Drive,,Masqat,45844,Masqat,Oman,2013-05-26 14:49:45.738,2006-02-15 09:45:30,2006-02-15 09:45:25,2006-02-15 09:44:00
10,Dorothy,Taylor,dorothy.taylor@sakilacustomer.org,t,2006-02-14,1,1531 Sal Drive,,Esfahan,53628,Esfahan,Iran,2013-05-26 14:49:45.738,2006-02-15 09:45:30,2006-02-15 09:45:25,2006-02-15 09:44:00
11,Lisa,Anderson,lisa.anderson@sakilacustomer.org,t,2006-02-14,1,1542 Tarlac Parkway,,Kanagawa,1027,Sagamihara,Japan,2013-05-26 14:49:45.738,2006-02-15 09:45:30,2006-02-15 09:45:25,2006-02-15 09:44:00
12,Nancy,Thomas,nancy.thomas@sakilacustomer.org,t,2006-02-14,1,808 Bhopal Manor,,Haryana,10672,Yamuna Nagar,India,2013-05-26 14:49:45.738,2006-02-15 09:45:30,2006-02-15 09:45:25,2006-02-15 09:44:00
13,Karen,Jackson,karen.jackson@sakilacustomer.org,t,2006-02-14,1,270 Amroha Parkway,,Osmaniye,29610,Osmaniye,Turkey,2013-05-26 14:49:45.738,2006-02-15 09:45:30,2006-02-15 09:45:25,2006-02-15 09:44:00
14,Betty,White,betty.white@sakilacustomer.org,t,2006-02-14,1,770 Bydgoszcz Avenue,,California,16266,Citrus Heights,United States,2013-05-26 14:49:45.738,2006-02-15 09:45:30,2006-02-15 09:45:25,2006-02-15 09:44:00
